,Species,Year,Location,Nesting Success Rate
0,Eastern Bluebird,2019,,71.40
1,Eastern Bluebird,2019,QC,77.80
2,Eastern Bluebird,2019,AL,80.00
3,Eastern Bluebird,2019,AR,88.20
4,Eastern Bluebird,2019,DE,71.60
5,Eastern Bluebird,2019,FL,78.30
6,Eastern Bluebird,2019,GA,87.00
7,Eastern Bluebird,2019,IL,59.30
8,Eastern Bluebird,2019,IN,78.70
9,Eastern Bluebird,2019,KS,68.80
10,Eastern Bluebird,2019,KY,71.20
11,Eastern Bluebird,2019,LA,77.30
12,Eastern Bluebird,2019,MA,75.50
13,Eastern Bluebird,2019,MD,71.60
14,Eastern Bluebird,2019,MI,63.70
15,Eastern Bluebird,2019,MN,85.70
16,Eastern Bluebird,2019,MO,76.90
17,Eastern Bluebird,2019,MS,90.70
18,Eastern Bluebird,2019,NC,74.40
19,Eastern Bluebird,2019,NH,40.00
20,Eastern Bluebird,2019,NJ,84.00
21,Eastern Bluebird,2019,NY,62.60
22,Eastern Bluebird,2019,OH,73.20
23,Eastern Bluebird,2019,OK,92.90
24,Eastern Bluebird,2019,PA,72.40
25,Eastern Bluebird,2019,SC,81.20
26,Eastern Bluebird,2019,TN,77.40
27,Eastern Bluebird,2019,TX,74.30
28,Eastern Bluebird,2019,VA,74.10
29,Eastern Bluebird,2019,WI,76.00
30,Eastern Bluebird,2017,QC,76.90
31,Eastern Bluebird,2017,AR,75.90
32,Eastern Bluebird,2017,CT,53.30
33,Eastern Bluebird,2017,DE,80.60
34,Eastern Bluebird,2017,FL,77.20
35,Eastern Bluebird,2017,GA,79.90
36,Eastern Bluebird,2017,IA,75.00
37,Eastern Bluebird,2017,IL,67.20
38,Eastern Bluebird,2017,IN,81.30
39,Eastern Bluebird,2017,KS,76.70
40,Eastern Bluebird,2017,KY,80.70
41,Eastern Bluebird,2017,LA,58.30
42,Eastern Bluebird,2017,MA,68.90
43,Eastern Bluebird,2017,MD,77.10
44,Eastern Bluebird,2017,MI,63.90
45,Eastern Bluebird,2017,MN,73.30
46,Eastern Bluebird,2017,MO,80.40
47,Eastern Bluebird,2017,MS,73.70
48,Eastern Bluebird,2017,NC,68.50
49,Eastern Bluebird,2017,NH,80.80
50,Eastern Bluebird,2017,NJ,72.70
51,Eastern Bluebird,2017,NY,65.50
