,index,Species,Year,Location,Nesting Success Rate
0,8,Wood Duck,2019,IL,91.70
1,19,Wood Duck,2019,TX,68.40
2,21,Wood Duck,2019,WI,80.00
3,67,Allen's Hummingbird,2019,CA,54.50
4,102,Red-tailed Hawk,2019,NY,68.20
5,104,Barn Owl,2019,CA,45.50
6,156,Eastern Phoebe,2019,PA,84.60
7,159,Eastern Phoebe,2019,TX,72.70
8,169,Ash-throated Flycatcher,2019,CA,78.80
9,171,Ash-throated Flycatcher,2019,TX,90.30
10,201,Carolina Chickadee,2019,NC,52.90
11,203,Carolina Chickadee,2019,OH,80.00
12,206,Carolina Chickadee,2019,SC,77.30
13,207,Carolina Chickadee,2019,TN,68.80
14,208,Carolina Chickadee,2019,TX,81.50
15,209,Carolina Chickadee,2019,VA,92.90
16,212,Black-capped Chickadee,2019,QC,81.30
17,218,Black-capped Chickadee,2019,MA,91.70
18,221,Black-capped Chickadee,2019,MI,45.50
19,222,Black-capped Chickadee,2019,MN,84.60
20,235,Black-capped Chickadee,2019,WI,26.70
21,240,Mountain Chickadee,2019,CO,88.20
22,245,Chestnut-backed Chickadee,2019,CA,62.50
23,248,Oak Titmouse,2019,CA,68.30
24,250,Juniper Titmouse,2019,NM,100.00
25,264,Tufted Titmouse,2019,TX,82.40
26,266,Black-crested Titmouse,2019,TX,76.60
27,271,Purple Martin,2019,DE,92.30
28,273,Purple Martin,2019,MA,100.00
29,274,Purple Martin,2019,MD,70.40
30,276,Purple Martin,2019,OH,90.30
31,277,Purple Martin,2019,PA,89.80
32,278,Purple Martin,2019,SD,96.90
33,281,Purple Martin,2019,VA,54.50
34,283,Tree Swallow,2019,AB,59.60
35,284,Tree Swallow,2019,BC,52.20
36,286,Tree Swallow,2019,QC,79.40
37,287,Tree Swallow,2019,CA,61.50
38,288,Tree Swallow,2019,CO,86.20
39,290,Tree Swallow,2019,DE,84.50
40,291,Tree Swallow,2019,GA,93.30
41,292,Tree Swallow,2019,ID,76.90
42,293,Tree Swallow,2019,IL,72.70
43,294,Tree Swallow,2019,IN,85.20
44,295,Tree Swallow,2019,KS,77.80
45,296,Tree Swallow,2019,KY,53.70
46,297,Tree Swallow,2019,MA,78.80
47,298,Tree Swallow,2019,MD,63.60
48,299,Tree Swallow,2019,ME,91.30
49,300,Tree Swallow,2019,MI,73.70
50,301,Tree Swallow,2019,MN,74.00
51,302,Tree Swallow,2019,MO,71.40
52,304,Tree Swallow,2019,NC,41.70
53,305,Tree Swallow,2019,NH,80.00
54,306,Tree Swallow,2019,NJ,84.20
55,307,Tree Swallow,2019,NY,75.30
56,308,Tree Swallow,2019,OH,77.10
